# IODP371 site U1508 physical property data
#Raw data		
depth_m_bsf	velocity_m/s	density_Mg/m3
155.8692	1.8306	1.6170
156.0216	1.8334	1.6171
156.1740	1.8325	1.6172
156.3264	1.8293	1.6173
156.4788	1.8123	1.6174
156.6312	1.7971	1.6175
156.7836	1.7885	1.6176
156.9360	1.7929	1.6177
157.0884	1.8004	1.6178
157.2408	1.8054	1.6179
157.3932	1.8105	1.6180
157.5456	1.8157	1.6181
157.6980	1.8210	1.6182
157.8504	1.8216	1.6183
158.0028	1.8151	1.6184
158.1552	1.7879	1.6185
158.3076	1.7854	1.6186
158.4600	1.7882	1.6187
158.6124	1.7917	1.6188
158.7648	1.7955	1.6189
158.9172	1.8108	1.6189
159.0696	1.8183	1.6190
159.2220	1.8206	1.6191
159.3744	1.8195	1.6192
159.5268	1.8205	1.6193
159.6792	1.8233	1.6194
159.8316	1.8246	1.6195
159.9840	1.8177	1.6196
160.1364	1.8069	1.6197
160.2888	1.7941	1.6198
160.4412	1.7939	1.6199
160.5936	1.7974	1.6200
160.7460	1.7995	1.6201
160.8984	1.7965	1.6202
161.0508	1.7905	1.6203
161.2032	1.7876	1.6204
161.3556	1.7957	1.6205
161.5080	1.8044	1.6206
161.6604	1.8219	1.6207
161.8128	1.8214	1.6208
161.9652	1.8111	1.6209
162.1176	1.7900	1.6210
162.2700	1.7792	1.6211
162.4224	1.7747	1.6212
162.5748	1.7739	1.6213
162.7272	1.7776	1.6214
162.8796	1.7751	1.6215
163.0320	1.7705	1.6216
163.1844	1.7643	1.6217
163.3368	1.7592	1.6218
163.4892	1.7576	1.6219
163.6416	1.7579	1.6220
163.7940	1.7677	1.6221
163.9464	1.7671	1.6221
164.0988	1.7696	1.6222
164.2512	1.7738	1.6223
164.4036	1.7870	1.6224
164.5560	1.8073	1.6225
164.7084	1.8168	1.6226
164.8608	1.8187	1.6227
165.0132	1.8209	1.6228
165.1656	1.8207	1.6229
165.3180	1.8169	1.6230
165.4704	1.8060	1.6231
165.6228	1.7878	1.6232
165.7752	1.7697	1.6233
165.9276	1.7534	1.6234
166.0800	1.7472	1.6235
166.2324	1.7453	1.6236
166.3848	1.7467	1.6237
166.5372	1.7541	1.6238
166.6896	1.7600	1.6239
166.8420	1.7641	1.6240
166.9944	1.7783	1.6241
167.1468	1.7911	1.6242
167.2992	1.7985	1.6243
167.4516	1.8038	1.6244
167.6040	1.8065	1.6245
167.7564	1.8027	1.6246
167.9088	1.7981	1.6247
168.0612	1.7948	1.6248
168.2136	1.7931	1.6249
168.3660	1.7936	1.6250
168.5184	1.8003	1.6251
168.6708	1.7906	1.6252
