# IODP371 site U1510 Rate of penetration (ROP) and Weight on bit (WOB) data. Data are only available for below 150 m in the borehole.
depth_(m)	ROP_(m/s)	WOB_(kN)
181.0410	0.0098	216.0650
181.0910	0.0098	216.0650
181.1410	0.0098	216.0650
181.1910	0.0098	216.0650
181.2410	0.0099	215.5920
181.2910	0.0099	215.1700
181.3410	0.0099	214.7480
181.3910	0.0099	214.3260
181.4410	0.0099	213.9040
181.4910	0.0099	213.4820
181.5410	0.0099	213.4820
181.5910	0.0099	213.0600
181.6410	0.0099	212.4960
181.6910	0.0102	212.0360
181.7410	0.0102	211.1140
181.7910	0.0102	211.1140
181.8410	0.0102	207.1370
181.8910	0.0103	204.1420
181.9410	0.0104	200.7110
181.9910	0.0127	198.6880
182.0410	0.0130	197.4900
182.0910	0.0130	189.2940
182.1410	0.0130	184.9780
182.1910	0.0130	184.9780
182.2410	0.0130	184.9780
182.2910	0.0122	184.9780
182.3410	0.0121	184.9780
182.3910	0.0121	191.9580
182.4410	0.0120	192.3270
182.4910	0.0116	192.8800
182.5410	0.0116	194.5040
182.5910	0.0110	198.0450
182.6410	0.0110	201.8760
182.6910	0.0102	208.1130
182.7410	0.0102	208.1130
182.7910	0.0102	208.1130
182.8410	0.0102	208.1130
182.8910	0.0103	208.1130
182.9410	0.0106	205.2220
182.9910	0.0109	201.9040
183.0410	0.0110	181.9800
183.0910	0.0110	181.9800
183.1410	0.0110	181.9800
183.1910	0.0111	181.9800
183.2410	0.0111	181.9800
183.2910	0.0111	181.9800
183.3410	0.0111	181.9820
183.3910	0.0111	182.0030
183.4410	0.0111	182.0240
183.4910	0.0111	186.0640
183.5410	0.0111	187.0620
183.5910	0.0112	188.8650
183.6410	0.0115	192.5910
183.6910	0.0116	196.6170
183.7410	0.0117	197.7360
183.7910	0.0118	197.7940
183.8410	0.0118	198.1830
183.8910	0.0119	199.4630
183.9410	0.0119	200.2180
183.9910	0.0120	201.0200
184.0410	0.0123	201.5210
184.0910	0.0124	201.5210
184.1410	0.0125	201.5210
184.1910	0.0126	201.5210
184.2410	0.0126	201.5210
184.2910	0.0126	201.5210
184.3410	0.0126	201.5210
184.3910	0.0124	201.5210
184.4410	0.0124	199.9610
184.4910	0.0124	198.9720
184.5410	0.0124	197.9820
184.5910	0.0122	196.5080
184.6410	0.0122	196.5080
184.6910	0.0122	196.5080
184.7410	0.0122	195.0620
184.7910	0.0118	195.0620
184.8410	0.0118	195.0620
184.8910	0.0118	195.0620
184.9410	0.0118	194.9970
184.9910	0.0118	194.9970
185.0410	0.0121	194.9970
185.0910	0.0121	192.1710
185.1410	0.0121	189.9300
185.1910	0.0121	189.7560
185.2410	0.0121	188.8130
185.2910	0.0118	186.0890
185.3410	0.0103	185.0580
185.3910	0.0103	184.7870
185.4410	0.0101	184.6530
185.4910	0.0099	184.6530
185.5410	0.0095	184.7870
185.5910	0.0090	185.0580
185.6410	0.0090	186.1140
185.6910	0.0089	187.1540
185.7410	0.0089	187.1600
185.7910	0.0086	187.2200
185.8410	0.0083	187.2800
185.8910	0.0082	189.4730
185.9410	0.0080	190.2580
185.9910	0.0080	190.7880
186.0410	0.0079	191.2600
186.0910	0.0079	192.7090
186.1410	0.0079	192.7090
186.1910	0.0079	194.8000
186.2410	0.0079	202.2900
186.2910	0.0079	209.4650
186.3410	0.0079	214.2010
186.3910	0.0075	214.8950
186.4410	0.0067	214.8950
186.4910	0.0065	214.8950
186.5410	0.0063	214.8950
186.5910	0.0061	214.2010
186.6410	0.0061	213.4820
186.6910	0.0057	212.3370
